DJI,NASDAQ,NYA,RUT,S&P
0.4623220926435111,0.49080833939087476,0.4060150375939849,0.4126126126126126,0.45716580026203457
0.49220784423700975,0.4835141184573003,0.490405701754386,0.4570682434097068,0.4845884840598569
0.48125937031484256,0.5304683283341738,0.4812069481880803,0.5173348758179387,0.509090909090909
0.44927343464237024,0.45594348908575066,0.4169802867383512,0.4509421702404159,0.4169802867383512
0.4306737588652482,0.41069177328934314,0.47840886043579095,0.4970414201183432,0.45964653385334314
0.4118239684938407,0.4433285864652344,0.4001674200569228,0.40245223838038213,0.41846082306440363
0.4140789870364787,0.4292406580237499,0.3891347459531276,0.422027864211028,0.43731836009141956
0.41956312680313224,0.4366872255270489,0.41110349246315875,0.40940860215053765,0.4134844114503729
0.393149066855658,0.4158814254178493,0.3851641861563903,0.39957413267767017,0.40911882825419327
0.44185995647561865,0.48514248218972633,0.401836917562724,0.4362958086460391,0.4586466165413534
0.439621160636771,0.4581706426181051,0.4260423596902917,0.44047579682646737,0.4464501053406238
0.49220784423700975,0.5304683283341738,0.490405701754386,0.5173348758179387,0.509090909090909
0.03193697518363313,0.03833810911468795,0.040719937144604305,0.040428132783794375,0.03338621318761136
